SCHOOL-LEVEL TEST-BY-TEST PASS AND PASS ADVANCED,,,,,,8/10/2015,,
DIVISION,SCHOOL,SUBJECT,GRADE,TEST,PASS 2013-2014,PASS 2014-2015,ADVANCED 2013-2014,ADVANCED 2014-2015
Accomack County ,Tangier Combined,History and Social Sciences,Content Specific,Civics & Econ,100,<,17,<
Accomack County ,Tangier Combined,History and Social Sciences,Content Specific,VA Studies,100,<,13,<
Accomack County ,Tangier Combined,History and Social Sciences,End of Course,Geography,71,100,0,0
Accomack County ,Tangier Combined,History and Social Sciences,End of Course,VA & US History,83,100,0,13
Accomack County ,Tangier Combined,History and Social Sciences,End of Course,World History I,100,86,0,0
Accomack County ,Tangier Combined,Mathematics,Gr 3,Mathematics,<,67,<,0
Accomack County ,Tangier Combined,Mathematics,Gr 4,Mathematics,50,100,0,20
Accomack County ,Tangier Combined,Mathematics,Gr 5,Mathematics,60,50,0,0
Accomack County ,Tangier Combined,Mathematics,Gr 6,Mathematics,<,67,<,17
Accomack County ,Tangier Combined,Mathematics,Gr 7,Mathematics,<,<,<,<
Accomack County ,Tangier Combined,Mathematics,Gr 8,Mathematics,83,<,0,<
Accomack County ,Tangier Combined,Mathematics,End of Course,Algebra I,<,83,<,0
Accomack County ,Tangier Combined,Mathematics,End of Course,Algebra II,75,100,0,0
Accomack County ,Tangier Combined,Mathematics,End of Course,Geometry,88,<,0,<
Accomack County ,Tangier Combined,Science,Gr 5,Science,80,63,20,0
Accomack County ,Tangier Combined,Science,Gr 8,Science,100,<,0,<
Accomack County ,Tangier Combined,Science,End of Course,Biology,100,71,13,0
Accomack County ,Tangier Combined,Science,End of Course,Chemistry,62,,0,
Accomack County ,Tangier Combined,Science,End of Course,Earth Science,86,100,0,17
Albemarle County ,Agnor-Hurt Elementary,English: Reading,Gr 3,English Reading,46,56,4,11
Albemarle County ,Agnor-Hurt Elementary,English: Reading,Gr 4,English Reading,50,75,6,4
Albemarle County ,Agnor-Hurt Elementary,English: Reading,Gr 5,English Reading,77,65,18,20
Albemarle County ,Agnor-Hurt Elementary,History and Social Sciences,Content Specific,VA Studies,72,73,21,16
Albemarle County ,Agnor-Hurt Elementary,Mathematics,Gr 3,Mathematics,33,44,0,3
Albemarle County ,Agnor-Hurt Elementary,Mathematics,Gr 4,Mathematics,62,82,17,22
Albemarle County ,Agnor-Hurt Elementary,Mathematics,Gr 5,Mathematics,68,60,24,10
Albemarle County ,Agnor-Hurt Elementary,Mathematics,Gr 6,Mathematics,,<,,<
Albemarle County ,Agnor-Hurt Elementary,Science,Gr 5,Science,57,68,8,14
Albemarle County ,Albemarle County Community Public Charter School,English: Reading,Gr 6,English Reading,55,35,0,0
Albemarle County ,Albemarle County Community Public Charter School,English: Reading,Gr 7,English Reading,56,71,11,6
Albemarle County ,Albemarle County Community Public Charter School,English: Reading,Gr 8,English Reading,67,67,0,22
Albemarle County ,Albemarle County Community Public Charter School,English: Writing,Gr 8,Writing,50,56,0,11
Albemarle County ,Albemarle County Community Public Charter School,History and Social Sciences,Content Specific,Civics & Econ,57,60,0,20
Albemarle County ,Albemarle County Community Public Charter School,Mathematics,Gr 6,Mathematics,11,18,0,0
Albemarle County ,Albemarle County Community Public Charter School,Mathematics,Gr 7,Mathematics,0,0,0,0
Albemarle County ,Albemarle County Community Public Charter School,Mathematics,Gr 8,Mathematics,8,25,0,0
Albemarle County ,Albemarle County Community Public Charter School,Science,Gr 8,Science,58,50,0,13
Albemarle County ,Albemarle High,English: Reading,End of Course,English Reading,91,91,16,18
Albemarle County ,Albemarle High,English: Writing,End of Course,Writing,88,88,34,43
Albemarle County ,Albemarle High,History and Social Sciences,End of Course,VA & US History,88,89,14,23
Albemarle County ,Albemarle High,History and Social Sciences,End of Course,World History I,85,88,21,20
Albemarle County ,Albemarle High,History and Social Sciences,End of Course,World History II,90,86,28,16
Albemarle County ,Albemarle High,Mathematics,Gr 8,Mathematics,<,,<,
Albemarle County ,Albemarle High,Mathematics,End of Course,Algebra I,75,80,2,3
Albemarle County ,Albemarle High,Mathematics,End of Course,Algebra II,80,72,34,23
Albemarle County ,Albemarle High,Mathematics,End of Course,Geometry,71,75,3,5
Albemarle County ,Albemarle High,Science,End of Course,Biology,90,88,19,19
Albemarle County ,Albemarle High,Science,End of Course,Chemistry,88,83,18,20
Albemarle County ,Albemarle High,Science,End of Course,Earth Science,84,79,14,5
Albemarle County ,Baker-Butler Elem,English: Reading,Gr 3,English Reading,75,82,20,27
Albemarle County ,Baker-Butler Elem,English: Reading,Gr 4,English Reading,78,78,18,24
Albemarle County ,Baker-Butler Elem,English: Reading,Gr 5,English Reading,75,84,16,37
Albemarle County ,Baker-Butler Elem,History and Social Sciences,Content Specific,VA Studies,87,89,48,44
Albemarle County ,Baker-Butler Elem,Mathematics,Gr 3,Mathematics,60,82,11,24
Albemarle County ,Baker-Butler Elem,Mathematics,Gr 4,Mathematics,87,87,32,28
Albemarle County ,Baker-Butler Elem,Mathematics,Gr 5,Mathematics,69,79,19,27
Albemarle County ,Baker-Butler Elem,Science,Gr 5,Science,68,75,13,17
Albemarle County ,Benjamin F. Yancey Elementary,English: Reading,Gr 3,English Reading,54,52,8,11
Albemarle County ,Benjamin F. Yancey Elementary,English: Reading,Gr 4,English Reading,40,62,4,15
Albemarle County ,Benjamin F. Yancey Elementary,English: Reading,Gr 5,English Reading,52,42,17,4
Albemarle County ,Benjamin F. Yancey Elementary,History and Social Sciences,Content Specific,VA Studies,73,52,23,8
Albemarle County ,Benjamin F. Yancey Elementary,Mathematics,Gr 3,Mathematics,8,44,0,0
Albemarle County ,Benjamin F. Yancey Elementary,Mathematics,Gr 4,Mathematics,40,69,4,8
Albemarle County ,Benjamin F. Yancey Elementary,Mathematics,Gr 5,Mathematics,61,65,9,8
Albemarle County ,Benjamin F. Yancey Elementary,Science,Gr 5,Science,65,46,9,4
Albemarle County ,Broadus Wood Elementary,English: Reading,Gr 3,English Reading,90,71,26,24
Albemarle County ,Broadus Wood Elementary,English: Reading,Gr 4,English Reading,75,85,20,19
Albemarle County ,Broadus Wood Elementary,English: Reading,Gr 5,English Reading,69,72,20,28
Albemarle County ,Broadus Wood Elementary,History and Social Sciences,Content Specific,VA Studies,61,76,20,13
Albemarle County ,Broadus Wood Elementary,Mathematics,Gr 3,Mathematics,68,67,16,16
Albemarle County ,Broadus Wood Elementary,Mathematics,Gr 4,Mathematics,75,80,32,20
Albemarle County ,Broadus Wood Elementary,Mathematics,Gr 5,Mathematics,65,65,20,11
Albemarle County ,Broadus Wood Elementary,Science,Gr 5,Science,76,70,8,9
Albemarle County ,Brownsville Elementary,English: Reading,Gr 3,English Reading,80,83,33,30
Albemarle County ,Brownsville Elementary,English: Reading,Gr 4,English Reading,83,88,15,35
Albemarle County ,Brownsville Elementary,English: Reading,Gr 5,English Reading,86,87,33,40
Albemarle County ,Brownsville Elementary,History and Social Sciences,Content Specific,VA Studies,87,93,58,65
Albemarle County ,Brownsville Elementary,Mathematics,Gr 3,Mathematics,77,83,25,18
Albemarle County ,Brownsville Elementary,Mathematics,Gr 4,Mathematics,85,90,28,45
Albemarle County ,Brownsville Elementary,Mathematics,Gr 5,Mathematics,91,91,50,47
Albemarle County ,Brownsville Elementary,Science,Gr 5,Science,84,83,29,35
