SCHOOL-LEVEL TEST-BY-TEST PASS AND PASS ADVANCED,,,,,,8/10/2015,,
DIVISION,SCHOOL,SUBJECT,GRADE,TEST,PASS 2013-2014,PASS 2014-2015,ADVANCED 2013-2014,ADVANCED 2014-2015
Hampton City ,Kecoughtan High,Science,End of Course,Biology,83,82,5,6
Hampton City ,Kecoughtan High,Science,End of Course,Chemistry,92,92,10,8
Hampton City ,Kecoughtan High,Science,End of Course,Earth Science,78,82,3,3
Hampton City ,Luther W. Machen Elementary ,English: Reading,Gr 3,English Reading,67,72,9,16
Hampton City ,Luther W. Machen Elementary ,English: Reading,Gr 4,English Reading,69,69,8,8
Hampton City ,Luther W. Machen Elementary ,English: Reading,Gr 5,English Reading,76,70,21,9
Hampton City ,Luther W. Machen Elementary ,History and Social Sciences,Content Specific,VA Studies,85,88,31,32
Hampton City ,Luther W. Machen Elementary ,Mathematics,Gr 3,Mathematics,66,74,9,11
Hampton City ,Luther W. Machen Elementary ,Mathematics,Gr 4,Mathematics,86,78,26,11
Hampton City ,Luther W. Machen Elementary ,Mathematics,Gr 5,Mathematics,74,73,23,13
Hampton City ,Luther W. Machen Elementary ,Science,Gr 5,Science,63,74,10,17
Hampton City ,Paul Burbank Elementary,English: Reading,Gr 3,English Reading,53,76,16,20
Hampton City ,Paul Burbank Elementary,English: Reading,Gr 4,English Reading,69,72,16,20
Hampton City ,Paul Burbank Elementary,English: Reading,Gr 5,English Reading,66,76,14,12
Hampton City ,Paul Burbank Elementary,History and Social Sciences,Content Specific,VA Studies,71,94,27,39
Hampton City ,Paul Burbank Elementary,Mathematics,Gr 3,Mathematics,61,73,8,11
Hampton City ,Paul Burbank Elementary,Mathematics,Gr 4,Mathematics,90,88,29,27
Hampton City ,Paul Burbank Elementary,Mathematics,Gr 5,Mathematics,57,82,13,18
Hampton City ,Paul Burbank Elementary,Science,Gr 5,Science,51,81,8,10
Hampton City ,Phillips Elementary,English: Reading,Gr 3,English Reading,57,58,3,17
Hampton City ,Phillips Elementary,English: Reading,Gr 4,English Reading,70,82,21,19
Hampton City ,Phillips Elementary,English: Reading,Gr 5,English Reading,78,73,16,17
Hampton City ,Phillips Elementary,History and Social Sciences,Content Specific,VA Studies,92,94,54,46
Hampton City ,Phillips Elementary,Mathematics,Gr 3,Mathematics,60,56,1,3
Hampton City ,Phillips Elementary,Mathematics,Gr 4,Mathematics,79,94,27,21
Hampton City ,Phillips Elementary,Mathematics,Gr 5,Mathematics,77,73,16,13
Hampton City ,Phillips Elementary,Mathematics,Gr 8,Mathematics,,<,,<
Hampton City ,Phillips Elementary,Science,Gr 5,Science,75,74,10,17
Hampton City ,Phoebus High,English: Reading,Gr 8,English Reading,<,,<,
Hampton City ,Phoebus High,English: Reading,End of Course,English Reading,86,88,3,4
Hampton City ,Phoebus High,English: Writing,End of Course,Writing,70,68,5,3
Hampton City ,Phoebus High,History and Social Sciences,End of Course,Geography,92,91,5,11
Hampton City ,Phoebus High,History and Social Sciences,End of Course,VA & US History,81,84,5,7
Hampton City ,Phoebus High,History and Social Sciences,End of Course,World History I,80,72,5,8
Hampton City ,Phoebus High,History and Social Sciences,End of Course,World History II,88,90,8,12
Hampton City ,Phoebus High,Mathematics,End of Course,Algebra I,77,73,0,1
Hampton City ,Phoebus High,Mathematics,End of Course,Algebra II,78,95,5,17
Hampton City ,Phoebus High,Mathematics,End of Course,Geometry,47,66,0,3
Hampton City ,Phoebus High,Science,End of Course,Biology,78,80,2,4
Hampton City ,Phoebus High,Science,End of Course,Chemistry,69,71,4,3
Hampton City ,Phoebus High,Science,End of Course,Earth Science,80,61,1,2
Hampton City ,Samuel P. Langley Elementary,English: Reading,Gr 3,English Reading,75,86,13,15
Hampton City ,Samuel P. Langley Elementary,English: Reading,Gr 4,English Reading,75,84,12,16
Hampton City ,Samuel P. Langley Elementary,English: Reading,Gr 5,English Reading,79,76,24,14
Hampton City ,Samuel P. Langley Elementary,History and Social Sciences,Content Specific,VA Studies,95,95,59,54
Hampton City ,Samuel P. Langley Elementary,Mathematics,Gr 3,Mathematics,83,90,13,4
Hampton City ,Samuel P. Langley Elementary,Mathematics,Gr 4,Mathematics,94,88,37,24
Hampton City ,Samuel P. Langley Elementary,Mathematics,Gr 5,Mathematics,86,91,27,32
Hampton City ,Samuel P. Langley Elementary,Science,Gr 5,Science,80,72,10,9
Hampton City ,Thomas Eaton Middle,English: Reading,Gr 6,English Reading,59,69,4,2
Hampton City ,Thomas Eaton Middle,English: Reading,Gr 7,English Reading,76,80,8,14
Hampton City ,Thomas Eaton Middle,English: Reading,Gr 8,English Reading,62,71,3,5
Hampton City ,Thomas Eaton Middle,English: Writing,Gr 8,Writing,71,66,5,6
Hampton City ,Thomas Eaton Middle,History and Social Sciences,Content Specific,Civics & Econ,80,83,12,11
Hampton City ,Thomas Eaton Middle,Mathematics,Gr 6,Mathematics,57,80,1,2
Hampton City ,Thomas Eaton Middle,Mathematics,Gr 7,Mathematics,41,43,0,0
Hampton City ,Thomas Eaton Middle,Mathematics,Gr 8,Mathematics,59,77,2,1
Hampton City ,Thomas Eaton Middle,Mathematics,End of Course,Algebra I,91,92,1,1
Hampton City ,Thomas Eaton Middle,Mathematics,End of Course,Geometry,98,95,18,3
Hampton City ,Thomas Eaton Middle,Science,Gr 8,Science,66,71,1,2
Hampton City ,Tucker-Capps Elementary,English: Reading,Gr 3,English Reading,73,79,14,33
Hampton City ,Tucker-Capps Elementary,English: Reading,Gr 4,English Reading,84,86,14,11
Hampton City ,Tucker-Capps Elementary,English: Reading,Gr 5,English Reading,66,88,15,27
Hampton City ,Tucker-Capps Elementary,History and Social Sciences,Content Specific,VA Studies,97,91,53,60
Hampton City ,Tucker-Capps Elementary,Mathematics,Gr 3,Mathematics,65,71,7,29
Hampton City ,Tucker-Capps Elementary,Mathematics,Gr 4,Mathematics,88,92,27,29
Hampton City ,Tucker-Capps Elementary,Mathematics,Gr 5,Mathematics,65,77,8,30
Hampton City ,Tucker-Capps Elementary,Science,Gr 5,Science,71,84,6,21
Hampton City ,William Mason Cooper Elementary,English: Reading,Gr 3,English Reading,69,70,16,10
Hampton City ,William Mason Cooper Elementary,English: Reading,Gr 4,English Reading,72,77,11,14
Hampton City ,William Mason Cooper Elementary,English: Reading,Gr 5,English Reading,69,70,10,4
Hampton City ,William Mason Cooper Elementary,History and Social Sciences,Content Specific,VA Studies,92,94,34,28
Hampton City ,William Mason Cooper Elementary,Mathematics,Gr 3,Mathematics,76,70,16,10
Hampton City ,William Mason Cooper Elementary,Mathematics,Gr 4,Mathematics,83,84,11,19
Hampton City ,William Mason Cooper Elementary,Mathematics,Gr 5,Mathematics,52,59,10,1
Hampton City ,William Mason Cooper Elementary,Science,Gr 5,Science,57,68,0,3
Hanover County ,Atlee High,English: Reading,Gr 8,English Reading,<,,<,
Hanover County ,Atlee High,English: Reading,End of Course,English Reading,94,96,8,13
Hanover County ,Atlee High,English: Writing,End of Course,Writing,93,89,29,35
Hanover County ,Atlee High,History and Social Sciences,End of Course,Geography,96,95,13,22
Hanover County ,Atlee High,History and Social Sciences,End of Course,VA & US History,91,93,13,19
Hanover County ,Atlee High,History and Social Sciences,End of Course,World History I,88,95,16,23
Hanover County ,Atlee High,History and Social Sciences,End of Course,World History II,95,92,29,20
Hanover County ,Atlee High,Mathematics,End of Course,Algebra I,80,84,2,0
Hanover County ,Atlee High,Mathematics,End of Course,Algebra II,83,90,28,23
Hanover County ,Atlee High,Mathematics,End of Course,Geometry,92,91,6,10
Hanover County ,Atlee High,Science,End of Course,Biology,90,92,12,14
Hanover County ,Atlee High,Science,End of Course,Chemistry,92,95,19,14
Hanover County ,Atlee High,Science,End of Course,Earth Science,97,100,10,12
Hanover County ,Battlefield Park Elementary,English: Reading,Gr 3,English Reading,72,72,16,22
Hanover County ,Battlefield Park Elementary,English: Reading,Gr 4,English Reading,69,77,14,22
Hanover County ,Battlefield Park Elementary,English: Reading,Gr 5,English Reading,72,87,23,27
Hanover County ,Battlefield Park Elementary,History and Social Sciences,Content Specific,VA Studies,84,90,28,33
Hanover County ,Battlefield Park Elementary,Mathematics,Gr 3,Mathematics,80,82,23,28
Hanover County ,Battlefield Park Elementary,Mathematics,Gr 4,Mathematics,84,91,33,30
Hanover County ,Battlefield Park Elementary,Mathematics,Gr 5,Mathematics,69,82,16,28
Hanover County ,Battlefield Park Elementary,Mathematics,Gr 6,Mathematics,100,100,53,14
Hanover County ,Battlefield Park Elementary,Science,Gr 5,Science,79,87,18,16
Hanover County ,Beaverdam Elementary,English: Reading,Gr 3,English Reading,78,63,18,20
Hanover County ,Beaverdam Elementary,English: Reading,Gr 4,English Reading,73,87,28,21
Hanover County ,Beaverdam Elementary,English: Reading,Gr 5,English Reading,81,81,19,26
Hanover County ,Beaverdam Elementary,History and Social Sciences,Content Specific,VA Studies,75,100,24,64
Hanover County ,Beaverdam Elementary,Mathematics,Gr 3,Mathematics,84,72,37,9
Hanover County ,Beaverdam Elementary,Mathematics,Gr 4,Mathematics,76,94,29,53
Hanover County ,Beaverdam Elementary,Mathematics,Gr 5,Mathematics,94,76,37,19
Hanover County ,Beaverdam Elementary,Mathematics,Gr 6,Mathematics,100,100,89,73
Hanover County ,Beaverdam Elementary,Science,Gr 5,Science,95,74,40,22
Hanover County ,Chickahominy Middle,English: Reading,Gr 6,English Reading,85,89,24,28
Hanover County ,Chickahominy Middle,English: Reading,Gr 7,English Reading,89,92,21,35
Hanover County ,Chickahominy Middle,English: Reading,Gr 8,English Reading,89,89,19,12
Hanover County ,Chickahominy Middle,English: Writing,Gr 8,Writing,79,83,16,22
Hanover County ,Chickahominy Middle,History and Social Sciences,Content Specific,Civics & Econ,94,97,43,38
Hanover County ,Chickahominy Middle,Mathematics,Gr 6,Mathematics,89,94,14,18
Hanover County ,Chickahominy Middle,Mathematics,Gr 7,Mathematics,85,93,23,29
Hanover County ,Chickahominy Middle,Mathematics,Gr 8,Mathematics,93,93,12,7
Hanover County ,Chickahominy Middle,Mathematics,End of Course,Algebra I,100,100,33,31
Hanover County ,Chickahominy Middle,Mathematics,End of Course,Algebra II,,<,,<
Hanover County ,Chickahominy Middle,Mathematics,End of Course,Geometry,100,100,69,71
Hanover County ,Chickahominy Middle,Science,Gr 8,Science,91,94,12,21
Hanover County ,Cold Harbor Elementary,English: Reading,Gr 3,English Reading,82,76,17,33
Hanover County ,Cold Harbor Elementary,English: Reading,Gr 4,English Reading,89,86,19,16
Hanover County ,Cold Harbor Elementary,English: Reading,Gr 5,English Reading,78,90,15,30
Hanover County ,Cold Harbor Elementary,History and Social Sciences,Content Specific,VA Studies,96,100,73,65
Hanover County ,Cold Harbor Elementary,Mathematics,Gr 3,Mathematics,63,77,23,21
Hanover County ,Cold Harbor Elementary,Mathematics,Gr 4,Mathematics,90,98,47,46
Hanover County ,Cold Harbor Elementary,Mathematics,Gr 5,Mathematics,77,91,32,28
Hanover County ,Cold Harbor Elementary,Mathematics,Gr 6,Mathematics,100,100,8,60
Hanover County ,Cold Harbor Elementary,Science,Gr 5,Science,88,90,31,18
Hanover County ,Cool Spring Elementary,English: Reading,Gr 3,English Reading,88,95,41,44
Hanover County ,Cool Spring Elementary,English: Reading,Gr 4,English Reading,80,91,28,35
Hanover County ,Cool Spring Elementary,English: Reading,Gr 5,English Reading,90,92,26,39
Hanover County ,Cool Spring Elementary,History and Social Sciences,Content Specific,VA Studies,94,95,45,56
Hanover County ,Cool Spring Elementary,Mathematics,Gr 3,Mathematics,79,88,44,30
Hanover County ,Cool Spring Elementary,Mathematics,Gr 4,Mathematics,87,94,34,43
Hanover County ,Cool Spring Elementary,Mathematics,Gr 5,Mathematics,91,93,30,32
Hanover County ,Cool Spring Elementary,Mathematics,Gr 6,Mathematics,100,100,14,38
Hanover County ,Cool Spring Elementary,Science,Gr 5,Science,89,91,27,20
Hanover County ,Elmont Elementary,English: Reading,Gr 3,English Reading,76,72,20,37
Hanover County ,Elmont Elementary,English: Reading,Gr 4,English Reading,85,75,34,28
Hanover County ,Elmont Elementary,English: Reading,Gr 5,English Reading,73,90,28,40
Hanover County ,Elmont Elementary,History and Social Sciences,Content Specific,VA Studies,89,88,43,52
Hanover County ,Elmont Elementary,Mathematics,Gr 3,Mathematics,71,83,39,22
Hanover County ,Elmont Elementary,Mathematics,Gr 4,Mathematics,88,88,47,48
Hanover County ,Elmont Elementary,Mathematics,Gr 5,Mathematics,88,100,31,59
Hanover County ,Elmont Elementary,Mathematics,Gr 6,Mathematics,100,100,31,47
Hanover County ,Elmont Elementary,Science,Gr 5,Science,75,83,18,19
Hanover County ,Hanover High,English: Reading,End of Course,English Reading,92,94,8,8
Hanover County ,Hanover High,English: Writing,End of Course,Writing,91,91,20,26
Hanover County ,Hanover High,History and Social Sciences,End of Course,Geography,89,<,20,<
Hanover County ,Hanover High,History and Social Sciences,End of Course,VA & US History,91,94,15,22
Hanover County ,Hanover High,History and Social Sciences,End of Course,World History I,93,93,18,20
Hanover County ,Hanover High,History and Social Sciences,End of Course,World History II,93,94,22,25
Hanover County ,Hanover High,Mathematics,End of Course,Algebra I,80,74,1,0
Hanover County ,Hanover High,Mathematics,End of Course,Algebra II,86,88,18,31
Hanover County ,Hanover High,Mathematics,End of Course,Geometry,86,89,10,5
Hanover County ,Hanover High,Science,End of Course,Biology,91,91,12,14
Hanover County ,Hanover High,Science,End of Course,Chemistry,91,92,11,8
Hanover County ,Hanover High,Science,End of Course,Earth Science,92,97,0,8
Hanover County ,John M. Gandy Elementary,English: Reading,Gr 3,English Reading,87,75,12,32
Hanover County ,John M. Gandy Elementary,English: Reading,Gr 4,English Reading,75,87,27,18
Hanover County ,John M. Gandy Elementary,English: Reading,Gr 5,English Reading,81,71,10,23
Hanover County ,John M. Gandy Elementary,History and Social Sciences,Content Specific,VA Studies,83,89,42,41
Hanover County ,John M. Gandy Elementary,Mathematics,Gr 3,Mathematics,87,78,28,29
Hanover County ,John M. Gandy Elementary,Mathematics,Gr 4,Mathematics,90,95,41,43
Hanover County ,John M. Gandy Elementary,Mathematics,Gr 5,Mathematics,88,82,27,23
Hanover County ,John M. Gandy Elementary,Mathematics,Gr 6,Mathematics,100,100,20,60
Hanover County ,John M. Gandy Elementary,Science,Gr 5,Science,63,77,10,16
Hanover County ,Kersey Creek Elementary,English: Reading,Gr 3,English Reading,76,91,21,36
Hanover County ,Kersey Creek Elementary,English: Reading,Gr 4,English Reading,83,83,32,29
Hanover County ,Kersey Creek Elementary,English: Reading,Gr 5,English Reading,88,95,22,46
Hanover County ,Kersey Creek Elementary,History and Social Sciences,Content Specific,VA Studies,97,98,56,52
Hanover County ,Kersey Creek Elementary,Mathematics,Gr 3,Mathematics,70,87,23,33
Hanover County ,Kersey Creek Elementary,Mathematics,Gr 4,Mathematics,95,94,44,43
Hanover County ,Kersey Creek Elementary,Mathematics,Gr 5,Mathematics,90,97,36,44
Hanover County ,Kersey Creek Elementary,Mathematics,Gr 6,Mathematics,100,100,52,54
Hanover County ,Kersey Creek Elementary,Science,Gr 5,Science,91,96,41,41
Hanover County ,Laurel Meadow Elementary,English: Reading,Gr 3,English Reading,70,84,22,39
Hanover County ,Laurel Meadow Elementary,English: Reading,Gr 4,English Reading,78,81,22,32
Hanover County ,Laurel Meadow Elementary,English: Reading,Gr 5,English Reading,68,83,16,22
Hanover County ,Laurel Meadow Elementary,History and Social Sciences,Content Specific,VA Studies,89,88,40,48
Hanover County ,Laurel Meadow Elementary,Mathematics,Gr 3,Mathematics,71,87,28,35
Hanover County ,Laurel Meadow Elementary,Mathematics,Gr 4,Mathematics,81,81,29,31
Hanover County ,Laurel Meadow Elementary,Mathematics,Gr 5,Mathematics,83,82,17,25
Hanover County ,Laurel Meadow Elementary,Mathematics,Gr 6,Mathematics,100,100,20,55
Hanover County ,Laurel Meadow Elementary,Science,Gr 5,Science,83,85,22,28
Hanover County ,Lee Davis High,English: Reading,Gr 8,English Reading,<,,<,
Hanover County ,Lee Davis High,English: Reading,End of Course,English Reading,89,89,7,6
Hanover County ,Lee Davis High,English: Writing,End of Course,Writing,85,80,17,17
Hanover County ,Lee Davis High,History and Social Sciences,End of Course,Geography,92,88,23,15
Hanover County ,Lee Davis High,History and Social Sciences,End of Course,VA & US History,84,88,9,8
Hanover County ,Lee Davis High,History and Social Sciences,End of Course,World History I,89,89,18,17
Hanover County ,Lee Davis High,History and Social Sciences,End of Course,World History II,92,91,8,13
Hanover County ,Lee Davis High,Mathematics,Gr 8,Mathematics,<,,<,
Hanover County ,Lee Davis High,Mathematics,End of Course,Algebra I,64,74,0,0
Hanover County ,Lee Davis High,Mathematics,End of Course,Algebra II,89,93,11,17
Hanover County ,Lee Davis High,Mathematics,End of Course,Geometry,76,80,3,2
Hanover County ,Lee Davis High,Science,End of Course,Biology,79,80,6,6
Hanover County ,Lee Davis High,Science,End of Course,Chemistry,91,90,9,7
Hanover County ,Lee Davis High,Science,End of Course,Earth Science,99,100,4,13
Hanover County ,Liberty Middle,English: Reading,Gr 6,English Reading,77,79,16,17
Hanover County ,Liberty Middle,English: Reading,Gr 7,English Reading,80,84,18,25
Hanover County ,Liberty Middle,English: Reading,Gr 8,English Reading,75,78,12,10
Hanover County ,Liberty Middle,English: Writing,Gr 8,Writing,72,73,15,16
Hanover County ,Liberty Middle,History and Social Sciences,Content Specific,Civics & Econ,89,90,30,20
Hanover County ,Liberty Middle,Mathematics,Gr 6,Mathematics,88,89,16,14
Hanover County ,Liberty Middle,Mathematics,Gr 7,Mathematics,77,85,21,23
Hanover County ,Liberty Middle,Mathematics,Gr 8,Mathematics,66,79,3,2
Hanover County ,Liberty Middle,Mathematics,End of Course,Algebra I,98,99,19,13
Hanover County ,Liberty Middle,Mathematics,End of Course,Algebra II,<,<,<,<
Hanover County ,Liberty Middle,Mathematics,End of Course,Geometry,99,98,19,31
Hanover County ,Liberty Middle,Science,Gr 8,Science,83,82,7,10
Hanover County ,Liberty Middle,Science,End of Course,Earth Science,<,,<,
Hanover County ,Mechanicsville Elementary,English: Reading,Gr 3,English Reading,82,77,28,23
Hanover County ,Mechanicsville Elementary,English: Reading,Gr 4,English Reading,81,86,20,30
Hanover County ,Mechanicsville Elementary,English: Reading,Gr 5,English Reading,76,78,13,21
Hanover County ,Mechanicsville Elementary,History and Social Sciences,Content Specific,VA Studies,91,93,48,52
Hanover County ,Mechanicsville Elementary,Mathematics,Gr 3,Mathematics,78,82,40,24
Hanover County ,Mechanicsville Elementary,Mathematics,Gr 4,Mathematics,91,99,36,61
Hanover County ,Mechanicsville Elementary,Mathematics,Gr 5,Mathematics,83,84,39,32
Hanover County ,Mechanicsville Elementary,Mathematics,Gr 6,Mathematics,100,100,38,47
Hanover County ,Mechanicsville Elementary,Science,Gr 5,Science,83,84,17,18
Hanover County ,Oak Knoll Middle,English: Reading,Gr 6,English Reading,89,91,22,27
Hanover County ,Oak Knoll Middle,English: Reading,Gr 7,English Reading,84,91,22,30
Hanover County ,Oak Knoll Middle,English: Reading,Gr 8,English Reading,86,88,19,11
Hanover County ,Oak Knoll Middle,English: Writing,Gr 8,Writing,77,75,14,19
Hanover County ,Oak Knoll Middle,History and Social Sciences,Content Specific,Civics & Econ,95,95,38,38
Hanover County ,Oak Knoll Middle,Mathematics,Gr 6,Mathematics,88,95,18,14
Hanover County ,Oak Knoll Middle,Mathematics,Gr 7,Mathematics,71,91,14,28
Hanover County ,Oak Knoll Middle,Mathematics,Gr 8,Mathematics,86,87,8,10
Hanover County ,Oak Knoll Middle,Mathematics,End of Course,Algebra I,100,100,20,20
Hanover County ,Oak Knoll Middle,Mathematics,End of Course,Algebra II,<,,<,
Hanover County ,Oak Knoll Middle,Mathematics,End of Course,Geometry,100,100,62,61
Hanover County ,Oak Knoll Middle,Science,Gr 8,Science,84,89,9,12
Hanover County ,Patrick Henry High,English: Reading,End of Course,English Reading,91,90,6,9
Hanover County ,Patrick Henry High,English: Writing,End of Course,Writing,82,81,13,21
Hanover County ,Patrick Henry High,History and Social Sciences,End of Course,Geography,100,100,0,10
Hanover County ,Patrick Henry High,History and Social Sciences,End of Course,VA & US History,86,88,9,15
Hanover County ,Patrick Henry High,History and Social Sciences,End of Course,World History I,85,83,9,9
Hanover County ,Patrick Henry High,History and Social Sciences,End of Course,World History II,81,84,11,8
Hanover County ,Patrick Henry High,Mathematics,End of Course,Algebra I,52,70,0,0
Hanover County ,Patrick Henry High,Mathematics,End of Course,Algebra II,75,86,14,18
Hanover County ,Patrick Henry High,Mathematics,End of Course,Geometry,65,68,1,2
Hanover County ,Patrick Henry High,Science,End of Course,Biology,82,83,9,6
Hanover County ,Patrick Henry High,Science,End of Course,Chemistry,82,88,9,7
Hanover County ,Patrick Henry High,Science,End of Course,Earth Science,98,98,4,7
Hanover County ,Pearson's Corner Elementary,English: Reading,Gr 3,English Reading,90,93,27,42
Hanover County ,Pearson's Corner Elementary,English: Reading,Gr 4,English Reading,88,95,31,43
Hanover County ,Pearson's Corner Elementary,English: Reading,Gr 5,English Reading,92,87,29,37
Hanover County ,Pearson's Corner Elementary,History and Social Sciences,Content Specific,VA Studies,96,98,65,62
Hanover County ,Pearson's Corner Elementary,Mathematics,Gr 3,Mathematics,86,89,33,29
Hanover County ,Pearson's Corner Elementary,Mathematics,Gr 4,Mathematics,91,99,40,39
Hanover County ,Pearson's Corner Elementary,Mathematics,Gr 5,Mathematics,98,83,40,26
Hanover County ,Pearson's Corner Elementary,Mathematics,Gr 6,Mathematics,100,100,57,69
Hanover County ,Pearson's Corner Elementary,Science,Gr 5,Science,94,86,42,25
Hanover County ,Pole Green Elementary,English: Reading,Gr 3,English Reading,90,78,23,34
Hanover County ,Pole Green Elementary,English: Reading,Gr 4,English Reading,83,83,21,26
Hanover County ,Pole Green Elementary,English: Reading,Gr 5,English Reading,86,86,14,35
Hanover County ,Pole Green Elementary,History and Social Sciences,Content Specific,VA Studies,92,90,50,49
Hanover County ,Pole Green Elementary,Mathematics,Gr 3,Mathematics,80,81,9,25
Hanover County ,Pole Green Elementary,Mathematics,Gr 4,Mathematics,88,95,31,39
Hanover County ,Pole Green Elementary,Mathematics,Gr 5,Mathematics,84,84,28,28
Hanover County ,Pole Green Elementary,Mathematics,Gr 6,Mathematics,100,100,38,25
Hanover County ,Pole Green Elementary,Science,Gr 5,Science,88,83,33,36
Hanover County ,Rural Point Elementary,English: Reading,Gr 3,English Reading,82,88,21,34
Hanover County ,Rural Point Elementary,English: Reading,Gr 4,English Reading,83,89,30,32
Hanover County ,Rural Point Elementary,English: Reading,Gr 5,English Reading,95,86,35,34
Hanover County ,Rural Point Elementary,History and Social Sciences,Content Specific,VA Studies,95,99,55,54
Hanover County ,Rural Point Elementary,Mathematics,Gr 3,Mathematics,67,83,21,25
Hanover County ,Rural Point Elementary,Mathematics,Gr 4,Mathematics,93,98,42,51
Hanover County ,Rural Point Elementary,Mathematics,Gr 5,Mathematics,98,93,48,36
Hanover County ,Rural Point Elementary,Mathematics,Gr 6,Mathematics,100,100,0,46
Hanover County ,Rural Point Elementary,Science,Gr 5,Science,90,83,17,24
Hanover County ,South Anna Elementary,English: Reading,Gr 3,English Reading,83,88,25,30
Hanover County ,South Anna Elementary,English: Reading,Gr 4,English Reading,86,85,46,34
Hanover County ,South Anna Elementary,English: Reading,Gr 5,English Reading,75,87,22,37
Hanover County ,South Anna Elementary,History and Social Sciences,Content Specific,VA Studies,96,94,61,56
Hanover County ,South Anna Elementary,Mathematics,Gr 3,Mathematics,68,83,21,30
Hanover County ,South Anna Elementary,Mathematics,Gr 4,Mathematics,90,87,40,38
Hanover County ,South Anna Elementary,Mathematics,Gr 5,Mathematics,79,85,23,25
Hanover County ,South Anna Elementary,Mathematics,Gr 6,Mathematics,100,100,45,88
Hanover County ,South Anna Elementary,Science,Gr 5,Science,82,89,28,38
Hanover County ,Stonewall Jackson Middle,English: Reading,Gr 6,English Reading,80,79,13,17
Hanover County ,Stonewall Jackson Middle,English: Reading,Gr 7,English Reading,79,85,17,18
Hanover County ,Stonewall Jackson Middle,English: Reading,Gr 8,English Reading,74,77,12,12
Hanover County ,Stonewall Jackson Middle,English: Writing,Gr 8,Writing,68,75,11,16
Hanover County ,Stonewall Jackson Middle,History and Social Sciences,Content Specific,Civics & Econ,92,94,27,34
Hanover County ,Stonewall Jackson Middle,Mathematics,Gr 6,Mathematics,82,86,7,5
Hanover County ,Stonewall Jackson Middle,Mathematics,Gr 7,Mathematics,63,83,8,11
Hanover County ,Stonewall Jackson Middle,Mathematics,Gr 8,Mathematics,82,83,4,7
Hanover County ,Stonewall Jackson Middle,Mathematics,End of Course,Algebra I,100,99,23,16
Hanover County ,Stonewall Jackson Middle,Mathematics,End of Course,Algebra II,<,,<,
Hanover County ,Stonewall Jackson Middle,Mathematics,End of Course,Geometry,100,100,56,67
Hanover County ,Stonewall Jackson Middle,Science,Gr 8,Science,81,83,7,9
Hanover County ,Stonewall Jackson Middle,Science,End of Course,Earth Science,,<,,<
Hanover County ,Washington-Henry Elementary ,English: Reading,Gr 3,English Reading,73,75,15,22
Hanover County ,Washington-Henry Elementary ,English: Reading,Gr 4,English Reading,79,76,19,28
Hanover County ,Washington-Henry Elementary ,English: Reading,Gr 5,English Reading,81,82,15,21
Hanover County ,Washington-Henry Elementary ,History and Social Sciences,Content Specific,VA Studies,96,94,66,57
Hanover County ,Washington-Henry Elementary ,Mathematics,Gr 3,Mathematics,75,78,27,20
Hanover County ,Washington-Henry Elementary ,Mathematics,Gr 4,Mathematics,93,89,33,39
Hanover County ,Washington-Henry Elementary ,Mathematics,Gr 5,Mathematics,78,85,24,24
Hanover County ,Washington-Henry Elementary ,Mathematics,Gr 6,Mathematics,100,100,44,62
Hanover County ,Washington-Henry Elementary ,Science,Gr 5,Science,90,84,28,28
Harrisonburg City ,Harrisonburg High,English: Reading,End of Course,English Reading,78,75,7,5
Harrisonburg City ,Harrisonburg High,English: Writing,End of Course,Writing,75,72,16,13
Harrisonburg City ,Harrisonburg High,History and Social Sciences,End of Course,Geography,90,71,3,5
Harrisonburg City ,Harrisonburg High,History and Social Sciences,End of Course,VA & US History,85,82,10,7
Harrisonburg City ,Harrisonburg High,History and Social Sciences,End of Course,World History I,86,81,15,19
Harrisonburg City ,Harrisonburg High,History and Social Sciences,End of Course,World History II,88,90,20,23
Harrisonburg City ,Harrisonburg High,Mathematics,End of Course,Algebra I,80,82,0,1
Harrisonburg City ,Harrisonburg High,Mathematics,End of Course,Algebra II,71,92,10,16
Harrisonburg City ,Harrisonburg High,Mathematics,End of Course,Geometry,80,77,7,5
Harrisonburg City ,Harrisonburg High,Science,End of Course,Biology,80,86,11,9
Harrisonburg City ,Harrisonburg High,Science,End of Course,Chemistry,79,78,9,5
Harrisonburg City ,Harrisonburg High,Science,End of Course,Earth Science,93,87,12,14
Harrisonburg City ,Keister Elementary,English: Reading,Gr 3,English Reading,80,73,23,22
Harrisonburg City ,Keister Elementary,English: Reading,Gr 4,English Reading,63,76,20,27
Harrisonburg City ,Keister Elementary,History and Social Sciences,Content Specific,VA Studies,77,74,30,33
Harrisonburg City ,Keister Elementary,Mathematics,Gr 3,Mathematics,75,83,26,27
Harrisonburg City ,Keister Elementary,Mathematics,Gr 4,Mathematics,92,89,35,35
Harrisonburg City ,Skyline Middle,English: Reading,Gr 5,English Reading,47,54,7,9
Harrisonburg City ,Skyline Middle,English: Reading,Gr 6,English Reading,65,59,13,9
Harrisonburg City ,Skyline Middle,English: Reading,Gr 7,English Reading,71,68,23,8
Harrisonburg City ,Skyline Middle,English: Reading,Gr 8,English Reading,56,65,6,20
Harrisonburg City ,Skyline Middle,English: Writing,Gr 8,Writing,64,66,13,18
Harrisonburg City ,Skyline Middle,History and Social Sciences,Content Specific,Civics & Econ,63,71,24,29
